토큰,freq,tag_change
디즈니,27457,i
인형,24754,c
피규어,22030,c
쿠키런,2716,i
귀여운,16972,f
토이스토리,12921,i
스티커,11477,c
빈티지,10727,f
짱구는못말려,10473,i
산리오,8551,i
헬로키티,8522,i
피넛츠,8028,i
픽사,6886,i
예쁜,6109,f
해리포터,5684,i
미키마우스,5597,i
키링,4961,c
곰돌이푸,4689,i
건담,4658,i
포켓몬,4429,i
다꾸,4426,f
크리스마스,4362,f
친구,4272,f
레고,4085,c
소품,4056,f
지브리,3778,i
마이멜로디,3778,i
장난감,3608,c
이웃집토토로,3455,i
사진,3425,f
엽서,3347,c
피너츠,3240,i
선물,2990,f
다이소,2893,f
미니언즈,2880,i
뱃지,2844,c
일본,2812,f
오너먼트,2716,c
게임,2686,f
카드,2640,c
미니어처,2631,c
쿠로미,2480,i
스폰지밥,2428,i
인테리어,2420,c
인어공주,2383,i
다이어리,2334,c
귀멸의칼날,2263,i
카카오프렌즈,2261,i
앨리스,2164,i
핑크,2125,f
하이큐,2059,i
몬주몬대,2031,i
플레이모빌,1980,c
월레스와그로밋,1957,i
스타벅스,1933,i
보이즈베어,1926,i
마블,1893,i
프라모델,1878,c
고양이,1875,f
문구,1855,c
케어베어,1824,i
케이스,1820,c
아크릴,1774,f
겨울왕국,1772,i
프린세스,1614,f
폼폼푸린,1610,i
원피스,1599,i
시나모롤,1583,i
닌텐도,1573,i
오르골,1546,c
홈카페,1544,f
포스터,1531,c
카페,1527,f
파우치,1504,c
칩앤데일,1492,i
가방,1482,c
주술회전,1480,i
토끼,1474,f
심슨,1474,i
동물,1470,f
마그넷,1466,c
레트로,1458,f
조립,1456,f
할로윈,1454,f
랜덤,1440,f
한정판,1439,f
여행,1428,f
마법,1391,f
실바니안패밀리,1384,i
세일러문,1330,i
행복,1326,f
테디베어,1325,f
시계,1301,c
리멘트,1269,c
미니마우스,1260,i
도라에몽,1243,i
토미카,1236,c
코카콜라,1219,i
카드캡터체리,1213,i
미녀와야수,1200,i
라푼젤,1157,i
포키,1113,i
퍼즐,1058,c
스탠드,1047,c
재밌는,999,f
테이프,980,c
신데렐라,951,i
백설공주,949,i
릴로와스티치,937,i
동물의숲,928,i
미니피규어,907,c
뽑기,904,f
디오라마,896,f
공주,885,f
커비,883,i
어드벤처타임,877,i
볼펜,872,c
생일,843,f
케이크,836,f
덤보,823,i
추억,813,f
색감,808,f
움직임,808,f
리락쿠마,797,i
얼굴,782,f
디테일,781,f
노트,775,c
사탕,774,c
바비,769,i
마녀배달부키키,766,i
정리,764,f
붙이는,762,f
스파이더맨,759,i
알라딘,751,i
트리,751,f
트롤,750,i
세서미스트리트,748,i
패션,746,f
톰과제리,740,i
거울,736,c
스꾸,735,f
생활,734,f
아이언맨,733,i
미피,732,i
센과치히로의행방불명,726,i
레드,723,f
하트,721,f
달력,721,c
루니툰,719,i
모자,715,c
도날드덕,711,i
호빵맨,704,i
기념,697,f
머그컵,695,c
필름,689,f
소니엔젤,665,i
레진,662,f
매력,660,f
전시,655,f
도색,644,f
미국,641,f
커스텀,641,f
여름,639,f
제시,637,i
스트랩,627,c
블랙,621,f
멋진,618,f
표정,607,f
조명,593,c
텀블러,588,c
취미,586,f
베어브릭,586,i
핑구,583,i
필통,580,c
쿠션,577,c
홀마크,573,f
스밋코구라시,569,i
꼬마마법사레미,568,i
장식장,565,f
공간,564,f
스타워즈,556,i
하울의움직이는성,555,i
실물,548,f
커피,543,f
라인프렌즈,539,i
저금통,539,c
베이비돌,537,c
빵빵덕,537,i
컬렉션,517,f
노래,514,f
노티드,514,i
그립톡,512,c
펭수,511,i
지갑,502,c
디지몬,502,i
젤리,498,c
키치,498,f
음반,497,c
로봇,494,f
무드등,493,c
주토피아,493,i
메모지,491,c
제주,473,f
액자,472,f
턴테이블,465,c
고전,464,f
피노키오,463,i
포토,459,c
더피와친구들,455,i
야수,455,i
반지,453,c
코난,446,i
산타,446,f
팝콘통,443,c
방꾸미기,439,f
램프,437,c
카메라,435,c
유니콘,429,f
커플,428,f
노란색,422,f
주문,421,f
딸기,421,f
포챠코,420,i
슈퍼마리오,412,i
종이,409,f
어벤져스,401,i
드래곤볼,401,i
폰케이스,400,c
틴케이스,399,c
포뇨,399,i
꼬마,395,f
데이지,393,i
도장,392,c
접시,389,c
관절,388,f
양말,388,c
동전지갑,386,c
페코,386,i
유리컵,383,c
피크닉,382,f
씽크웨이,381,f
다마고치,375,c
잠옷,374,c
101마리달마시안,374,i
보라색,373,f
장식,370,f
아이스크림,368,f
몬치치,367,i
찰떡,362,f
블루,358,f
액션,358,f
올림픽,357,i
전시회,348,f
리틀트윈스타,346,i
마스코트,343,f
브라운,342,f
오리,341,f
코코,341,i
구피,341,i
배트맨,339,i
디저트,339,f
그릇,338,c
소장,337,f
파티,337,f
조합,333,f
에디션,330,f
즐거운,326,f
미녀,326,i
다이캐스트,326,f
액세서리,325,c
요정,325,f
클리어,325,f
이누야샤,322,i
변신,320,f
파일,319,c
슬리퍼,317,c
피터팬,316,i
라이온킹,314,i
음료,313,f
생일선물,312,f
클립,311,c
감성,309,f
상자,308,f
영롱한,307,f
힐링,304,f
입히기,304,f
수제,301,f
플루토,301,i
가면라이더,301,i
에어팟케이스,295,c
캐슬,295,f
바다,294,f
모아나,294,i
버스,285,f
브랜드,284,f
오리지널,282,f
돼지,280,f
나노블럭,279,c
책갈피,279,c
리본,277,f
마법소녀,276,f
패키지,270,f
주말,270,f
하늘,270,f
음식,269,f
개구리,266,f
배경,264,f
포장,261,f
유령,260,f
애정,256,f
남자,255,f
떡메모지,252,c
공부,251,f
올드한,249,f
밤비,246,i
학교,245,f
음악,243,f
달빛천사,242,i
기체,241,f
담요,240,c
소녀,239,f
19곰테드,238,i
토킹,236,f
지팡이,235,f
슈가슈가룬,235,i
투명,233,f
워터볼,232,c
블럭,230,f
어른,230,f
마스크,228,c
펭귄,228,f
홀더,228,c
폴라로이드,228,c
나무,225,f
그리핀도르,225,i
날씨,224,f
마녀,223,f
브릭,223,c
전자기기,221,f
잠자는숲속의공주,221,i
연필,220,c
주방용품,220,c
프레임,220,f
천사,218,f
가을,218,f
과자,215,f
러브,215,f
하찮음,215,f
푸키,215,i
풍선,213,f
사쿠라,212,f
저렴한,211,f
싱잉,211,f
모델,209,f
커버,208,c
뮬란,208,i
화이트,207,f
바나나,206,f
팔찌,205,c
파란색,204,f
도시락,204,c
라따뚜이,204,i
신발,203,c
동화,203,f
향수,201,c
페인팅,201,f
스피커,200,c
축하,198,f
유치한,197,f
아침,196,f
포징,196,f
메탈,196,f
방향제,196,c
요리,195,f
소년,195,f
애플,194,f
공룡,193,f
레전드,193,f
스마일,193,f
안경,191,f
모찌,191,f
바니,190,f
우산,189,c
케로로,186,i
티셔츠,185,c
골드,185,f
