to,from
플레이모빌,"플모,모빌"
콜리티비,"콜리tv,콜리 티비,콜리 tv,tv박스,tv 박스"
콜리양말,"콜리 양말"
빵빵덕,"빵빵츄,빵덕이"
미스터포테이토헤드,"미스터 포테이토 헤드,미스터 포테이토헤드,미스터포테이토 헤드,포테이토헤드,포테이토 헤드,미스터 포테이토,미스터포테이토"
랏소,"랏쏘"
인형놀이,"인놀"
스노우볼,"스노우글로브,스노우 볼,스노우 글로브"
스꾸,"스티커꾸미기,스티커 꾸미기"
뱃지,"배지"
배스킨라빈스,"배라,베스킨라빈스"
미니어처,"미니어쳐"
떡메모지,"떡메"
디즈니스토어,"디즈니 스토어"
다꾸,"다이어리 꾸미기,다이어리꾸미기"
구체관절,"구관"
인스타,"인스타그램"
유니버셜스튜디오,"유니버셜 스튜디오,유니버설 스튜디오,유니버셜,유니버설"
상하이,"상해"
마이크와조스키,"마이크 와죠스키,마이크 와조스키,마이크와죠스키,와조스키,와죠스키"
소드아트온라인,"소드아트 온라인"
카카오프렌즈,"카카오 프렌즈"
마스킹테이프,"마스킹 테이프"
타카라토미,"타카라 토미"
핸드메이드,"핸드 메이드"
카메라,"필름카메라,필름 카메라,폴라로이드,인스탁스"
선물,"생일선물"
19곰테드,"19곰 테드,테드"
토이스토리,"알린,우디,제시,버즈라이트이어,버즈 라이트 이어,버즈 라이트,버즈,보핍,랏소,햄,불스아이,슬링키,더키,버니,토이스토리4,듀크카붐,룩소볼,개비개비,렉스,포테이토헤드"
몬주몬대,"마이크와조스키,설리반,마이크,몬스터 대학교,몬스터대학교,몬스터대학,몬스터 대학,몬주,몬대,몬스터주식회사,몬스터 주식회사,몬주&몬대"
헬로키티,"키티,헬로 키티,챠미키티,kitty,hello kitty"
심슨,"심슨패밀리,심슨가족,심슨 가족,호머심슨,호머 심슨,리사 심슨,매기 심슨,바트,바트 심슨,바트심슨"
니모,"니모를찾아서"
라따뚜이,"라따뚜이 레미,Ratatouille"
포뇨,"벼랑 위의 포뇨"
고양이의보은,"고양이의 보은,바론"
이웃집토토로,"토토로,이웃집 토토로,네코버스,네코 버스,고양이 버스,고양이버스"
센과치히로의행방불명,"센과치히로,센과 치히로,센과치히로의 행방불명,가오나시"
하울의움직이는성,"하울의 움직이는성,하울의 움직이는 성,하울의 성,소파의성,캘시퍼,소피,하울"
마녀배달부키키,"마녀 배달부 키키,마녀배달부 키키,지지,키키"
원령공주,"모노노케히메,모노노케 히메,고다마,코다마,아시타카"
천공의성라퓨타,"천공의 성 라퓨타,천공의성 라퓨타,라퓨타,키츠네리스,여우다람쥐"
마루밑아리에티,"마루 밑 아리에티,아리에티"
붉은돼지,"붉은 돼지"
바람계곡의나우시카,"바람계곡의 나우시카,나우시카"
귀를기울이면,"귀를 기울이면,시즈쿠,니시 시로,루이제,아마사와 세이지"
추억의마니,"추억의 마니"
지브리,"도토리숲"
닥터슬럼프,"아라레,오보차맨,오보챠맨"
케로피,"케로케로케로피"
마이멜로디,"마멜,마이 멜로디"
산리오,"쿠로미,폼폼푸린,시나몬롤"
톰과제리,"톰과 제리"
루니툰,"트위티,스페이스잼,벅스 버니"
워너브라더스,"워너 브라더스"
스누피,"찰리브라운,찰리 브라운,찰리,피너츠,루시,우드스탁,샐리 브라운"
더피와친구들,"더피,젤라토니,더피프렌즈,더피 프렌즈"
포켓몬,"피카츄,이상해씨,꼬부기,이브이,메타몽,파이리,이브이즈,야돈,리자몽,포켓몬스터,뮤,포켓몬센터"
건담 브랜드 시리즈,"HG,HGBD,HGBD:R,HGBF,HGCE,HGUC,RG,MG,MG ver.Ka,MG Ver.Ka,MGEX,RE/100,Full mechanics,PG,Master grade SD,SD,Entry grade,Hi-resolution model,DX초합금,백식"
