to,from
피규어,"피겨린,팝마트,랜덤피규어,액션피규어,액션 피규어,랜덤 피규어,넨도로이드,큐포스켓,핫토이,펀코팝,초합금,마텔,메타코레,로봇혼,킨키로봇,코스베이비,오비츠,아미보,에네스코,메탈빌드,테라,히어로크로스,소프"
인형,"봉제인형,베이비돌,육일돌,클래식돌,애착인형,인형옷,토끼인형,구체관절,브라이스,미미,미니베이비돌,블라이스,도리스돌,리틀미미,리카,모즈"
테디,"곰인형,테디베어"
스티커,"인스,스티커북"
가챠,"가챠샵"
키링,"열쇠고리,열쇠"
노트,"공책"
로봇,"로보트"
종이,"페이퍼"
시계,"손목시계,알람시계,벽시계,탁상시계"
거울,"손거울"
마그넷,"자석"
사탕,"캔디"
악세서리,"브로치,귀걸이,목걸이,액세서리,악새서리"
욕실,"욕실 아이템,욕실인테리어,욕실화,욕실용품"
귀엽,"귀여,귀요미,졸귀,귀염,귀욤,귀염뽀짝,기엽"
예쁘,"이쁘,존예,예쁘다,예뿌"
미니,"작은,작고"
한정판,"한정,리피미트"
핑크,"분홍"
재미,"재밌,꿀잼"
조립,"만든"
그린,"초록"
테이프,"마스킹테이프"
블루,"파란색,파랗"
멋지,"멋있,멋진"
케이크,"케익,케잌"
레드,"빨갛,빨강,빨간"
그린,"초록"
블랙,"검정,까맣다,까맣,어두운,어둡"
주술회전,"주술,메구미,사토루,나나미"
릴로와스티치,"릴로,스티치,릴로스티치,스크럼프,릴로&스티치"
토이스토리,"알린,우디,버즈라이트이어,랏소,보핍,렉스,더키,앤디,불스아이,포테이토헤드,앤디,불스아이,슬링키,기글,룩소볼,듀크카붐,저그,카붐,듀크,개비개비,토이 스토리"
보이즈,"보이즈베어"
포켓몬,"피카츄,이브이,메타몽,잠만보,파이리,꼬부기,리자몽"
레트로,"레트"
카카오,"라이언,카카오프렌즈,어피치,춘식,튜브,죠르디"
프라모델,"건프라"
인어공주,"에리얼,아리엘,플라운더,우슬라"
어드벤처타임,"어드벤쳐타임,제이크,비모,어탐"
몬주몬대,"마이크,설리반,와조스키,설리,마이크와조스키"
장난감,"고전완구,썸썸,쯔무쯔무,캡슐토이,킨더조이,미니카"
101마리달마시안,"달마시안"
19곰테드,"곰테드"
가든,"정원"
가디언즈오브갤럭시,"그루트"
가벼운,"가볍"
가족,"엄마,언니,아빠,형제,할머니,오빠,할아버지,부모,어머니"
거대한,"거대"
건담,"제타,사야"
겨울왕국,"올라프,엘사,안나"
고퀄리티,"고퀄"
곰돌이푸,"피글렛,티거,이요르"
귀멸의칼날,"고쿠,탄지,노스케,네즈,기유,시노부"
기념,"기념품"
기동성,"기동"
기쁨,"기쁜,기쁘"
꼬마마법사레미,"도레미,레미"
꼬질,"꼬질한"
나의히어로아카데미아,"마이트,아카데미,아카,히로,미도리"
나츠메우인장,"나츠메"
남자친구,"남친"
옐로우,"노랑,노랗,노란"
닌텐도,"스위치"
다이노탱,"다이노"
다이어리,"플래너"
단순한,"단순"
달력,"캘린더"
달빛천사,"달천"
대결,"전투"
더피와친구들,"더피,스텔라루,젤라토니,쉐리메이"
데코,"장식용"
도금,"금도금"
도널드덕,"도날드"
도쿄리벤저스,"리벤,마이키,도쿄리벤져스, 도쿄 리벤져스, 도쿄 리벤저스"
두꺼운,"두껍"
드래곤볼,"손오공, 트랭크스"
디지몬,"아구몬"
따끈따끈베이커리,"따끈따끈,베이커리"
따스,"따스,따뜻"
떡메모지,"떡메"
라이온킹,"심바,품바,티몬"
라인,"라인프렌즈"
라푼젤,"파스칼"
랜덤,"랜덤박스,랜덤카드,랜덤뽑기,럭키 박스"
레어,"레어템"
레트로,"레트"
루니툰,"벅스,실베스터"
리락쿠마,"코리락쿠마"
마녀배달부키키,"지지"
마스킹테이프,"마스킹"
마이멜로디,"멜로디,마멜"
말랑한,"말랑,말랑말랑"
머그컵,"머그"
멜론,"메론"
몰랑이,"몰랑"
묵직한,"묵직"
문구,"포스트잇,문방구,가위,편지지,팬시,문구점"
미녀와야수,"루미에르,콕스워스"
바비,"바비인형"
반짝,"빛나,반짝이,반짝반짝,반짝거리"
배트맨,"조커"
백설공주,"난쟁이,난장이"
